# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 15 11:32:16 CEST 2025 [seed=1747301535910]
# LRV_Pos_VG_Assembllies_REFS.xml
state	country.rates.Bolivia.Brazil	country.rates.Bolivia.French Guiana	country.rates.Bolivia.Peru	country.rates.Bolivia.Suriname	country.rates.Bolivia.Venezuela	country.rates.Brazil.French Guiana	country.rates.Brazil.Peru	country.rates.Brazil.Suriname	country.rates.Brazil.Venezuela	country.rates.French Guiana.Peru	country.rates.French Guiana.Suriname	country.rates.French Guiana.Venezuela	country.rates.Peru.Suriname	country.rates.Peru.Venezuela	country.rates.Suriname.Venezuela	country.indicators.Bolivia.Brazil	country.indicators.Bolivia.French Guiana	country.indicators.Bolivia.Peru	country.indicators.Bolivia.Suriname	country.indicators.Bolivia.Venezuela	country.indicators.Brazil.French Guiana	country.indicators.Brazil.Peru	country.indicators.Brazil.Suriname	country.indicators.Brazil.Venezuela	country.indicators.French Guiana.Peru	country.indicators.French Guiana.Suriname	country.indicators.French Guiana.Venezuela	country.indicators.Peru.Suriname	country.indicators.Peru.Venezuela	country.indicators.Suriname.Venezuela	country.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0
1000	1.5911660563722319	0.26335576287904056	0.3020634733921866	1.2240360659772174	0.4706822868427492	2.450168467395631	2.1611137639133395	2.1323083378345458	1.0749050281034294	1.4862327388080445	0.705742508768844	0.9042747778034134	0.8101531910613252	1.7009049041211741	0.3400977954697386	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0
2000	1.6465080487538284	0.8605905419938483	1.1823061077748593	0.41416483666423537	0.5837176482146403	1.9206531404698768	1.0108811322703075	1.301694681539937	3.1553989078561275	1.218502686181306	0.6174362427481248	1.7815637580551371	0.528608234334211	4.746821237145555	0.03304648156652646	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
3000	0.23738942961193368	2.061057836298562	3.664073953432859	0.870745367021014	0.5797481342363573	1.7424382310179853	3.0144457061301146	0.7356122982971498	1.1933716107519454	0.5353790507368031	1.0380106777431048	0.6929065253067797	1.387835334982801	2.2379461625360078	0.054251602829052975	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	7.0
4000	0.12175510387382284	1.835064106933077	2.267305938211118	0.7708719956926866	0.6951203552849493	2.589792460458833	3.359263382689903	0.35693461326853926	2.4740108604141757	1.361347028333395	0.5658032854964032	0.4273939748191407	1.807007359439309	2.2237996712208816	0.034291833145949135	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	6.0
5000	0.5921158064704816	0.28898885337803903	6.45378904067179	0.7422952029604095	1.1105462173994727	3.0276008144038338	3.29604718259702	0.35701038885836367	2.1144790076207043	1.0134537648555961	1.0485408873385786	0.927415552169772	0.27378694689873095	0.8119330781894427	0.10418643095652666	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	6.0
6000	1.7073678615478582	0.6736282911848901	2.708978772907314	1.7913187239221369	1.468969529889942	2.0875445254017753	2.358054991184003	0.2097970866362033	0.7156874003503281	2.1341799361007494	1.1902449731624638	0.08708877241507415	0.42454347997739345	1.0343058159996492	0.29372884923274006	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	5.0
7000	2.478998545220872	0.45784154121503	2.3902285587989898	1.943364837852439	0.7846007095517255	1.6447916525435875	1.1575695325780724	0.2089479376646055	0.4023296726436853	1.0802147057914702	0.7212839980627851	0.19249773122271993	0.6932733768456157	1.4371676658437582	2.273948579389673	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
8000	2.2267165137000955	0.22087965125993161	3.920859052362997	0.14541172692176677	1.3910233199314068	1.4914961481072486	1.9999192240801058	0.28961846127027935	0.26419627213763563	2.3082536802390266	0.21543491659076544	0.24489787805656615	0.3924300164511812	0.1947094158844976	2.4244044458010334	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	6.0
9000	2.345481250452226	0.09150606923062021	2.460517940350575	0.08745318299671044	1.4659389943014407	2.9672420756660465	1.7840300470819463	0.7396992483126648	0.8222325498058848	0.3841617042006051	0.8217705386730619	0.2933442821672432	0.24421195234477713	0.20475538801857052	0.4762853759283386	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	7.0
