# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 15 11:32:16 CEST 2025 [seed=1747301535910]
# LRV_Pos_VG_Assembllies_REFS.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	yule.birthRate	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	default.clock.rate	country.clock.rate	default.meanRate	country.meanRate	country.rates.Bolivia.Brazil	country.rates.Bolivia.French Guiana	country.rates.Bolivia.Peru	country.rates.Bolivia.Suriname	country.rates.Bolivia.Venezuela	country.rates.Brazil.French Guiana	country.rates.Brazil.Peru	country.rates.Brazil.Suriname	country.rates.Brazil.Venezuela	country.rates.French Guiana.Peru	country.rates.French Guiana.Suriname	country.rates.French Guiana.Venezuela	country.rates.Peru.Suriname	country.rates.Peru.Venezuela	country.rates.Suriname.Venezuela	country.indicators.Bolivia.Brazil	country.indicators.Bolivia.French Guiana	country.indicators.Bolivia.Peru	country.indicators.Bolivia.Suriname	country.indicators.Bolivia.Venezuela	country.indicators.Brazil.French Guiana	country.indicators.Brazil.Peru	country.indicators.Brazil.Suriname	country.indicators.Brazil.Venezuela	country.indicators.French Guiana.Peru	country.indicators.French Guiana.Suriname	country.indicators.French Guiana.Venezuela	country.indicators.Peru.Suriname	country.indicators.Peru.Venezuela	country.indicators.Suriname.Venezuela	country.nonZeroRates	default.treeLikelihood	default.branchRates	country.branchRates	country.treeLikelihood	speciation
0	-320441.42696274957	-3038.3969872610214	-317403.02997548855	518.9995236253749	1535.099059435393	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	-317210.2203652981	0.0	0.0	-192.80961019044858	-2997.417664911992
1000	-263765.0254195529	-208.483654826823	-263556.5417647261	45.472237208814875	197.44409097676532	0.8360390760145077	1.0043181375102646	1.0	0.9942331820380479	1.0	1.0	1.0014486804516878	0.2512666430018855	0.24096267677444616	0.24515455742435124	0.2626161227993171	0.5	0.4433194499811258	1.0	1.0	1.0	1.0	1.5911660563722319	0.26335576287904056	0.3020634733921866	1.2240360659772174	0.4706822868427492	2.450168467395631	2.1611137639133395	2.1323083378345458	1.0749050281034294	1.4862327388080445	0.705742508768844	0.9042747778034134	0.8101531910613252	1.7009049041211741	0.3400977954697386	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	-263393.6595223639	0.0	0.0	-162.8822423622049	-183.87436754603192
2000	-236792.38052767122	6.995850214607486	-236799.37637788584	2.6149796723377516	27.122439150224405	3.3816119144097145	0.9880991215743685	1.005535305529052	1.0024668243833685	1.0	1.0123823321266556	0.9915164163865557	0.2512666430018855	0.25331601204439946	0.23280122215439797	0.2626161227993171	0.560267409258143	0.45951699553843095	1.0	1.0	1.0	1.0	1.6465080487538284	0.8605905419938483	1.1823061077748593	0.41416483666423537	0.5837176482146403	1.9206531404698768	1.0108811322703075	1.301694681539937	3.1553989078561275	1.218502686181306	0.6174362427481248	1.7815637580551371	0.528608234334211	4.746821237145555	0.03304648156652646	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	-236652.52541907245	0.0	0.0	-146.8509588133909	36.2094484465658
3000	-217881.4786256902	46.416392053940704	-217927.89501774413	1.1479928045423533	18.438974294756026	6.432921482309313	0.9880991215743685	1.0065649819630094	1.00718709273709	1.0	1.0123823321266556	0.9857664715988766	0.25643407434350923	0.2397940528220783	0.22808363375093005	0.27568823908348244	0.7118658103262165	0.45951699553843095	1.0	1.0	1.0	1.0	0.23738942961193368	2.061057836298562	3.664073953432859	0.870745367021014	0.5797481342363573	1.7424382310179853	3.0144457061301146	0.7356122982971498	1.1933716107519454	0.5353790507368031	1.0380106777431048	0.6929065253067797	1.387835334982801	2.2379461625360078	0.054251602829052975	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	7.0	-217786.25304705495	0.0	0.0	-141.6419706891871	76.83354877197088
4000	-204732.1486986064	67.45910403622638	-204799.60780264263	0.7273620840537779	15.19219589766753	7.090965496593133	0.9806100846400541	1.020371217103243	1.0010382105231588	0.9942049607241628	1.0279824409534053	0.9757930860559761	0.25585925177712815	0.23371644145073137	0.21980740923637138	0.2906168975357692	0.7873571503609952	0.45951699553843095	1.0	1.0	1.0	1.0	0.12175510387382284	1.835064106933077	2.267305938211118	0.7708719956926866	0.6951203552849493	2.589792460458833	3.359263382689903	0.35693461326853926	2.4740108604141757	1.361347028333395	0.5658032854964032	0.4273939748191407	1.807007359439309	2.2237996712208816	0.034291833145949135	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	6.0	-204662.17499736758	0.0	0.0	-137.4328052750486	97.94892146542573
5000	-196159.48546156575	75.99881506935166	-196235.4842766351	0.5846452618001601	13.767380767058992	8.192169879326876	0.9806100846400541	1.020371217103243	1.0010382105231588	0.9942049607241628	1.0279824409534053	0.9757930860559761	0.25585925177712815	0.2400850667918758	0.2095109028589965	0.2945447785719996	0.8261010441760132	0.4525260834753119	1.0	1.0	1.0	1.0	0.5921158064704816	0.28898885337803903	6.45378904067179	0.7422952029604095	1.1105462173994727	3.0276008144038338	3.29604718259702	0.35701038885836367	2.1144790076207043	1.0134537648555961	1.0485408873385786	0.927415552169772	0.27378694689873095	0.8119330781894427	0.10418643095652666	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	6.0	-196109.6237323645	0.0	0.0	-125.86054427060454	108.04905251986432
6000	-178648.95687655747	100.99551865824958	-178749.95239521572	0.45757377531218973	11.18949171685384	9.489691461375239	0.9709701978670204	1.020371217103243	1.0010382105231588	0.9942049607241628	1.0386616717596524	0.9747537420227627	0.2671392584817481	0.24254988219830528	0.1957660807479471	0.2945447785719996	1.0563033827713209	0.4525260834753119	1.0	1.0	1.0	1.0	1.7073678615478582	0.6736282911848901	2.708978772907314	1.7913187239221369	1.468969529889942	2.0875445254017753	2.358054991184003	0.2097970866362033	0.7156874003503281	2.1341799361007494	1.1902449731624638	0.08708877241507415	0.42454347997739345	1.0343058159996492	0.29372884923274006	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	5.0	-178631.92807449788	0.0	0.0	-118.02432071785097	130.0868165100648
7000	-167257.83108019174	110.00576334604058	-167367.83684353778	0.791090551995153	10.355655930252956	10.052216695069472	0.9679497841432771	1.0222132049050894	1.001485582126459	0.9942049607241628	1.0506699757168625	0.9634764923841493	0.2724953417137979	0.24254988219830528	0.19844431280315547	0.28651046328474145	1.0822947752955265	0.4525260834753119	1.0	1.0	1.0	1.0	2.478998545220872	0.45784154121503	2.3902285587989898	1.943364837852439	0.7846007095517255	1.6447916525435875	1.1575695325780724	0.2089479376646055	0.4023296726436853	1.0802147057914702	0.7212839980627851	0.19249773122271993	0.6932733768456157	1.4371676658437582	2.273948579389673	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	-167256.99413845802	0.0	0.0	-110.84270507976359	138.22098613954438
8000	-156790.08784996305	124.78712833648255	-156914.87497829954	0.5127166741895249	8.97450717611124	11.065882896429823	0.9696692580952734	1.0222132049050894	1.001485582126459	0.9979327204331746	1.0534915134463758	0.955207720993628	0.2631140763406695	0.24254988219830528	0.20711895615656908	0.2872170853044562	0.9368658550439695	0.4525260834753119	1.0	1.0	1.0	1.0	2.2267165137000955	0.22087965125993161	3.920859052362997	0.14541172692176677	1.3910233199314068	1.4914961481072486	1.9999192240801058	0.28961846127027935	0.26419627213763563	2.3082536802390266	0.21543491659076544	0.24489787805656615	0.3924300164511812	0.1947094158844976	2.4244044458010334	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	6.0	-156802.78004165718	0.0	0.0	-112.09493664236327	153.0951645601096
9000	-147509.1005351568	136.15869980784038	-147645.25923496461	0.41704809944004184	8.142385660646434	12.082017357217417	0.9754645346712054	1.0269726972741724	0.9936175487541502	1.0042577327799682	1.0569939082477249	0.942693578272779	0.2633784821895254	0.24254988219830528	0.20625888501801973	0.2878127505941497	0.9992694822603021	0.4525260834753119	1.0	1.0	1.0	1.0	2.345481250452226	0.09150606923062021	2.460517940350575	0.08745318299671044	1.4659389943014407	2.9672420756660465	1.7840300470819463	0.7396992483126648	0.8222325498058848	0.3841617042006051	0.8217705386730619	0.2933442821672432	0.24421195234477713	0.20475538801857052	0.4762853759283386	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	7.0	-147538.828545602	0.0	0.0	-106.4306893625911	163.2539638439199
